Team,Years,Head Coach,Years,Offensive Coordinator,Years,Defensive Coordinator
Arizona,3,Bruce Arians,3,Harold Goodwin,1,James Bettcher 
Atlanta,1,Dan Quinn ,1,Kyle Shanahan ,1,Richard Smith 
Baltimore,8,John Harbaugh,1,Marc Trestman ,4,Dean Pees
Buffalo,1,Rex Ryan ,1,Greg Roman ,1,Dennis Thurman 
Carolina,5,Ron Rivera,3,Mike Shula,5,Sean McDermott
Chicago,1,John Fox ,0,Dowell Loggins (CHI QB),1,Vic Fangio 
Cincinnati,13,Marvin Lewis,0,Ken Zampese (CIN QB),2,Paul Guenther 
Cleveland,0,Hue Jackson (CIN OC),0,(Hue Jackson will call plays),0,Ray Horton (TEN DC)
Dallas,5,Jason Garrett,2,Scott Linehan,2,Rod Marinelli 
Denver,1,Gary Kubiak ,1,Rick Dennison ,1,Wade Phillips 
Detroit,2,Jim Caldwell,1,Jim Bob Cooter,2,Teryl Austin
Green Bay,10,Mike McCarthy ,4,Tom Clements,7,Dom Capers 
Houston,2,Bill O'Brien,1,George Godsey,2,Romeo Crennel 
Indiana,4,Chuck Pagano,1,Rob Chudzinski,0,Ted Monachino (BAL LB)
Jacksonville,3,Gus Bradley,1,Greg Olson ,0,Todd Walsh (JAC DL)
Kansas City,3,Andy Reid,0,Brad Childress (KC OFF Consultant,3,Bob Sutton
Los Angeles,4,Jeff Fisher,1,Rob Boras,2,Gregg Williams 
Miami,0,Adam Gase (CHI OC),0,Clyde Christensen (IND QB),0,Vance Joseph (CIN DB)
Minnesota,2,Mike Zimmer,2,Norv Turner,2,George Edwards 
New England,16,Bill Belichick,4,Josh McDaniels,4,Matt Patrica
New Orleans,10,Sean Payton ,7,Pete Carmichael,1,Dennis Allen
NY Giants,0,Ben McAdoo (NYG OC),0,Mike Sullivan (NYG QB),1,Steve Spagnuolo 
NY Jets,1,Todd Bowles ,1,Chan Gailey ,1,Kacy Rodgers 
Oakland,1,Jack Del Rio ,1,Bill Musgrave ,1,Ken Norton Jr. 
Philadelphia,0,Doug Pederson (KC OC),0,Frank Reich (SD OC),0,Jim Schwartz (BUF DC)
Pittsburgh,9,Mike Tomlin,4,Todd Haley,1,Keith Butler 
San Diego,3,Mike McCoy,0,Ken Whisenhunt (TEN HC),4,John Pagano
Seattle,6,Pete Carroll,5,Darrell Bevell,1,Kris Richard 
San Francisco,0,Chip Kelly (PHI HC),0,Curtis Modkins (DET RB),0,Jim O_Neil (CLE DC)
Tampa Bay,0,Dirk Koetter (TB OC),0,Todd Monken (U. So. Miss HC),0,Mike Smith (ATL HC 2014)
Tennessee,0,Mike Mularkey (TEN TE),0,Terry Robiskie (ATL WR),0,Dick LeBeau
Washington,2,Jay Gruden,2,Sean McVay,1,Joe Barry 